Variable,Coefficient,Std_Error,t_value,p_value,Significance
wins_std,0.029619114447791948,0.06968606162622693,0.42503642355562404,0.6708432563720388,
seasons_std,0.24605565364875048,0.07343893101684709,3.3504797783243423,0.0008175684476978695,***
avg_place_std,-0.4053374726472757,0.05721503116171122,-7.084457767630915,1.7645884753392238e-12,***
partner_is_champion,-0.30222835728061587,0.19003491230980749,-1.590383332452433,0.11186295176561556,
age_std,1.079065694915178,0.2698458101731786,3.9988232310250993,6.532854209551076e-05,***
followers_std,0.0852814787746068,0.12573540634273395,0.6782614474901161,0.49766279814921344,
celebrity_has_follower_data,0.11929581644088483,0.10603298684491298,1.1250821077299487,0.2606520719309855,
age_sq_std,-0.2208103358583863,0.27097741983900825,-0.8148661829760074,0.41521921801005934,
season_std,0.4058013175804946,0.056614785665795295,7.1677621330091785,9.743317264110374e-13,***
week_std,-0.9803744381969796,0.04761050223053522,-20.59155837908922,0.0,***
exp_x_fans,-0.07031758616657154,0.06721866351358691,-1.0461021148947425,0.29560549386362056,
champ_x_fans,-0.07331053066198424,0.16623228733602896,-0.4410125842141002,0.6592384287623081,
wins_x_age,-0.05513850159964294,0.05174811793846095,-1.0655170408064336,0.2867352195727979,
season_x_fans,-0.08464955081084494,0.0568685661225381,-1.4885121330401452,0.1367301295322001,
ind_Entertainment,0.09241214387082893,0.16945637433606905,0.5453447483363533,0.5855604998103248,
ind_Sports,-0.1462366492354925,0.18040091344795514,-0.810620336446462,0.41765362476222845,
ind_Media,0.010744909409927917,0.1803003521692558,0.05959450036948209,0.9524829131094799,
