Season,Rank_Accuracy,Pct_Accuracy,Agreement_Rate,Actual_Method
1,0.7777777777777778,0.7777777777777778,1.0,rank
2,0.8775510204081632,0.8775510204081632,1.0,rank
3,0.7222222222222222,0.7962962962962963,0.8888888888888888,percentage
4,0.746268656716418,0.746268656716418,1.0,percentage
5,0.8235294117647058,0.8235294117647058,1.0,percentage
6,0.782608695652174,0.782608695652174,1.0,percentage
7,0.7288135593220338,0.7966101694915254,0.8983050847457628,percentage
8,0.8192771084337349,0.8192771084337349,1.0,percentage
9,0.8,0.8235294117647058,0.9764705882352941,percentage
10,0.835820895522388,0.8656716417910447,0.9402985074626866,percentage
11,0.7647058823529411,0.8235294117647058,0.9411764705882353,percentage
12,0.835820895522388,0.8955223880597015,0.9104477611940298,percentage
13,0.7941176470588235,0.7941176470588235,1.0,percentage
14,0.8533333333333334,0.8533333333333334,0.9466666666666667,percentage
15,0.7166666666666667,0.75,0.9666666666666667,percentage
16,0.9066666666666666,0.9066666666666666,1.0,percentage
17,0.7837837837837838,0.8648648648648649,0.918918918918919,percentage
18,0.8113207547169812,0.8113207547169812,0.9245283018867925,percentage
19,0.8266666666666667,0.8266666666666667,1.0,percentage
20,0.7466666666666667,0.7733333333333333,0.9466666666666667,percentage
21,0.8,0.8333333333333334,0.9666666666666667,percentage
22,0.7794117647058824,0.8088235294117647,0.9411764705882353,percentage
23,0.7948717948717948,0.8717948717948718,0.9230769230769231,percentage
24,0.7972972972972973,0.8243243243243243,0.972972972972973,percentage
25,0.8,0.8571428571428571,0.9142857142857143,percentage
26,0.8333333333333334,0.8333333333333334,1.0,percentage
27,0.8260869565217391,0.8840579710144928,0.9130434782608695,percentage
28,0.7619047619047619,0.7619047619047619,1.0,rank
29,0.8269230769230769,0.8653846153846154,0.9615384615384616,rank
30,0.8315789473684211,0.8315789473684211,1.0,rank
31,0.8247422680412371,0.8041237113402062,0.979381443298969,rank
32,0.7619047619047619,0.7619047619047619,0.9761904761904762,rank
33,0.8518518518518519,0.8518518518518519,1.0,rank
34,0.7619047619047619,0.7619047619047619,0.9761904761904762,rank
